IAL - COP,1,4,3.5,3,1,4,3.5,3,1,4,3.5,3,1,4,3.5,3,1,4,3.5,3,1,4,3.5,3
End-Use (kWh/m²-yr),RC1 ,RC1 ,RC1 ,RC1 ,RC2,RC2,RC2,RC2,RC3,RC3,RC3,RC3,RC4,RC4,RC4,RC4,RC5,RC5,RC5,RC5,RC6,RC6,RC6,RC6
Total,93.55,57.29,59.02,61.32,95.7,57.8,59.6,62.0,84.6,54.8,56.2,58.1,120.1,77.0,77.0,79.8,122.5,75.4,77.7,80.6,154.3,82.8,86.2,90.7
Heating,32.10,8.02,9.17,10.70,35.5,8.9,10.1,11.8,23.6,5.9,6.8,7.9,51.2,14.6,14.6,17.1,52.8,13.2,15.1,17.6,72.3,18.1,20.7,24.1
Cooling,16.25,4.06,4.64,5.42,15.0,3.7,4.3,5.0,16.1,4.0,4.6,5.4,9.3,2.6,2.6,3.1,10.0,2.5,2.9,3.3,23.1,5.8,6.6,7.7
Interior Lighting,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,2.0,2.0,2.0,2.0
Exterior-Lights,0.93,0.93,0.93,0.93,0.9,0.9,0.9,0.9,0.6,0.6,0.6,0.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.4,3.4,3.4,3.4
Electric Equipment,31.77,31.77,31.77,31.77,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.5,34.5,34.5,34.5
Elevators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9
Water Systems,11.70,11.70,11.70,11.70,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,16.2,16.2,16.2,16.2
